ESPECIFICAÇÃO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Teste de Admissão,2151,1719,1670,1706,1550,1766,1691,1268,1276,1078,1124
Teste de Seleção,1636,1194,1344,1706,572,2363,2021,1949,1803,1494,1407
Nº Alunos Matriculados,6197,6051,5646,5796,5867,5452,5806,5579,4892,4014,3462
Nº Alunos Concludentes,1492,1410,1308,1316,945,1380,1447,1149,1166,936,1067
